timestamp,test_iteration,test_type,target,protocol,config,result_value,result_unit
2026-02-10T21:00:01Z,1,ping_min,Google DNS,icmp,default, 0.268,ms
2026-02-10T21:00:01Z,1,ping_avg,Google DNS,icmp,default,0.340,ms
2026-02-10T21:00:01Z,1,ping_max,Google DNS,icmp,default,0.559,ms
2026-02-10T21:00:01Z,1,ping_stddev,Google DNS,icmp,default,0.081,ms
2026-02-10T21:00:01Z,1,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:05Z,2,ping_min,Google DNS,icmp,default, 0.252,ms
2026-02-10T21:00:05Z,2,ping_avg,Google DNS,icmp,default,0.316,ms
2026-02-10T21:00:05Z,2,ping_max,Google DNS,icmp,default,0.458,ms
2026-02-10T21:00:05Z,2,ping_stddev,Google DNS,icmp,default,0.067,ms
2026-02-10T21:00:05Z,2,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:09Z,3,ping_min,Google DNS,icmp,default, 0.252,ms
2026-02-10T21:00:09Z,3,ping_avg,Google DNS,icmp,default,0.321,ms
2026-02-10T21:00:09Z,3,ping_max,Google DNS,icmp,default,0.373,ms
2026-02-10T21:00:09Z,3,ping_stddev,Google DNS,icmp,default,0.038,ms
2026-02-10T21:00:09Z,3,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:13Z,4,ping_min,Google DNS,icmp,default, 0.252,ms
2026-02-10T21:00:13Z,4,ping_avg,Google DNS,icmp,default,0.291,ms
2026-02-10T21:00:13Z,4,ping_max,Google DNS,icmp,default,0.316,ms
2026-02-10T21:00:13Z,4,ping_stddev,Google DNS,icmp,default,0.020,ms
2026-02-10T21:00:13Z,4,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:16Z,5,ping_min,Google DNS,icmp,default, 0.282,ms
2026-02-10T21:00:16Z,5,ping_avg,Google DNS,icmp,default,0.309,ms
2026-02-10T21:00:16Z,5,ping_max,Google DNS,icmp,default,0.391,ms
2026-02-10T21:00:16Z,5,ping_stddev,Google DNS,icmp,default,0.031,ms
2026-02-10T21:00:16Z,5,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:20Z,1,ping_min,Cloudflare DNS,icmp,default, 11.684,ms
2026-02-10T21:00:20Z,1,ping_avg,Cloudflare DNS,icmp,default,11.817,ms
2026-02-10T21:00:20Z,1,ping_max,Cloudflare DNS,icmp,default,12.065,ms
2026-02-10T21:00:20Z,1,ping_stddev,Cloudflare DNS,icmp,default,0.120,ms
2026-02-10T21:00:20Z,1,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:24Z,2,ping_min,Cloudflare DNS,icmp,default, 11.860,ms
2026-02-10T21:00:24Z,2,ping_avg,Cloudflare DNS,icmp,default,11.924,ms
2026-02-10T21:00:24Z,2,ping_max,Cloudflare DNS,icmp,default,12.043,ms
2026-02-10T21:00:24Z,2,ping_stddev,Cloudflare DNS,icmp,default,0.055,ms
2026-02-10T21:00:24Z,2,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:28Z,3,ping_min,Cloudflare DNS,icmp,default, 11.580,ms
2026-02-10T21:00:28Z,3,ping_avg,Cloudflare DNS,icmp,default,11.644,ms
2026-02-10T21:00:28Z,3,ping_max,Cloudflare DNS,icmp,default,11.707,ms
2026-02-10T21:00:28Z,3,ping_stddev,Cloudflare DNS,icmp,default,0.043,ms
2026-02-10T21:00:28Z,3,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:32Z,4,ping_min,Cloudflare DNS,icmp,default, 11.822,ms
2026-02-10T21:00:32Z,4,ping_avg,Cloudflare DNS,icmp,default,11.881,ms
2026-02-10T21:00:32Z,4,ping_max,Cloudflare DNS,icmp,default,12.002,ms
2026-02-10T21:00:32Z,4,ping_stddev,Cloudflare DNS,icmp,default,0.050,ms
2026-02-10T21:00:32Z,4,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:36Z,5,ping_min,Cloudflare DNS,icmp,default, 11.734,ms
2026-02-10T21:00:36Z,5,ping_avg,Cloudflare DNS,icmp,default,11.830,ms
2026-02-10T21:00:36Z,5,ping_max,Cloudflare DNS,icmp,default,12.006,ms
